team,book,win_total,over_odds,under_odds,snapshot_ts,source_file
Arizona State,DraftKings,6.5,-120.0,100.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Arizona State,FanDuel,6.5,-110.0,-110.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Arizona Wildcats,DraftKings,7.5,105.0,-125.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Arkansas,BetMGM,4.5,135.0,-175.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Arkansas,Caesars,4.5,135.0,-170.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Arkansas,FanDuel,4.5,138.0,-170.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Arkansas Razorbacks,DraftKings,4.5,130.0,-166.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Arkansas St,BetMGM,6.5,120.0,-150.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Arkansas St.,Caesars,5.5,-200.0,150.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Arkansas State Red Wolves,DraftKings,6.5,110.0,-140.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Army,BetMGM,7.5,-145.0,115.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Army,Caesars,7.5,-160.0,120.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Army Black,DraftKings,7.5,-146.0,115.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Auburn,BetMGM,6.5,-120.0,-110.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Auburn,Caesars,6.5,-120.0,-110.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Auburn,DraftKings,6.5,-115.0,-105.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Auburn,FanDuel,6.5,-115.0,-105.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
BYU,BetMGM,8.5,-125.0,100.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
BYU,Caesars,8.5,-125.0,-105.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
BYU,DraftKings,8.5,-125.0,105.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
BYU,FanDuel,8.5,-124.0,102.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Ball St.,Caesars,3.5,-115.0,-115.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
Ball State,BetMGM,3.5,-125.0,-105.0,2026-07-01T18:57:37+00:00,market_win_totals_history.csv
