team,team_normalized,historical_conference,current_2026_conference,development_home_games,raw_team_hfa,conference_hfa,shrunk_team_hfa,current_site_hfa,difference_recommended_vs_current,difference_recommended_vs_2_5,holdout_2025_home_games,holdout_current_site_mae,holdout_conference_team_mae,confidence
ole miss,ole miss,,SEC,0,,2.5392492537313434,2.5392492537313434,2.4,0.13924925373134345,0.03924925373134336,0,,,Low
sacramento state,sacramento state,,MAC,0,,2.5392492537313434,2.5392492537313434,2.5,0.03924925373134336,0.03924925373134336,0,,,Low
sam houston,sam houston,,CUSA,0,,2.5392492537313434,2.5392492537313434,2.5,0.03924925373134336,0.03924925373134336,0,,,Low
south alabama,south alabama,,Sun Belt,0,,2.5392492537313434,2.5392492537313434,2.5,0.03924925373134336,0.03924925373134336,0,,,Low
south carolina,south carolina,,SEC,0,,2.5392492537313434,2.5392492537313434,2.3,0.23924925373134354,0.03924925373134336,0,,,Low
south florida,south florida,,American,0,,2.5392492537313434,2.5392492537313434,2.6,-0.06075074626865673,0.03924925373134336,0,,,Low
southern miss,southern miss,,Sun Belt,0,,2.5392492537313434,2.5392492537313434,2.1,0.43924925373134327,0.03924925373134336,0,,,Low
troy,troy,,Sun Belt,0,,2.5392492537313434,2.5392492537313434,1.7,0.8392492537313434,0.03924925373134336,0,,,Low
virginia tech,virginia tech,,ACC,0,,2.5392492537313434,2.5392492537313434,2.3,0.23924925373134354,0.03924925373134336,0,,,Low
west virginia,west virginia,,B12,0,,2.5392492537313434,2.5392492537313434,3.4,-0.8607507462686566,0.03924925373134336,0,,,Low
western kentucky,western kentucky,,CUSA,0,,2.5392492537313434,2.5392492537313434,2.8,-0.26075074626865646,0.03924925373134336,0,,,Low
western michigan,western michigan,,MAC,0,,2.5392492537313434,2.5392492537313434,2.5,0.03924925373134336,0.03924925373134336,0,,,Low
