game_id,week,date,away_team,home_team,projection_margin_home,projection_margin_home_source,projection_margin_home_raw,market_spread_home,market_spread_home_source,market_spread_home_raw,ats_edge_home,ats_edge_side,projected_total,projected_total_source,projected_total_raw,market_total,market_total_source,market_total_raw,total_edge,total_side,has_projection_spread,has_market_spread,has_ats_edge,has_projection_total,has_market_total,has_total_edge,possible_pk_bug
g175,2,2026-09-12,Louisiana,USC,28.3,blend_spread_home,28.3,,,,,,58.6,blend_total,58.6,,,,,,True,False,False,True,False,False,False
g176,2,2026-09-12,Texas Southern,UTEP,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g177,2,2026-09-12,Arkansas,Utah,10.2,blend_spread_home,10.2,,,,,,58.8,blend_total,58.8,,,,,,True,False,False,True,False,False,False
g178,2,2026-09-12,Delaware,Vanderbilt,23.9,blend_spread_home,23.9,,,,,,57.8,blend_total,57.8,,,,,,True,False,False,True,False,False,False
g179,2,2026-09-12,Norfolk State,Virginia,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g180,2,2026-09-12,Old Dominion,Virginia Tech,17.5,blend_spread_home,17.5,,,,,,49.1,blend_total,49.1,,,,,,True,False,False,True,False,False,False
g181,2,2026-09-12,Utah State,Washington,24.3,blend_spread_home,24.3,,,,,,52.3,blend_total,52.3,,,,,,True,False,False,True,False,False,False
g182,2,2026-09-12,UT Martin,West Virginia,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g183,2,2026-09-12,Monmouth,Western Michigan,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g184,2,2026-09-12,Western Illinois,Wisconsin,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g185,2,2026-09-12,Northern Colorado,Wyoming,,,,,,,,,,,,,,,,,False,False,False,False,False,False,False
g186,3,2026-09-17,Syracuse,Pittsburgh,9.1,blend_spread_home,9.1,,,,,,51.5,blend_total,51.5,,,,,,True,False,False,True,False,False,False
g187,3,2026-09-18,Houston,Texas Tech,18.1,blend_spread_home,18.1,,,,,,53.2,blend_total,53.2,,,,,,True,False,False,True,False,False,False
g188,3,2026-09-18,Miami-FL,Wake Forest,-14.4,blend_spread_home,-14.4,,,,,,46.5,blend_total,46.5,,,,,,True,False,False,True,False,False,False
g189,3,2026-09-19,Florida State,Alabama,12.6,blend_spread_home,12.6,,,,,,47.1,blend_total,47.1,,,,,,True,False,False,True,False,False,False
