snapshot_date,snapshot_label,season,game_id,cfbd_game_id,game_date,game_week,away_team,home_team,market_spread_home,market_total,market_spread_open_home,market_total_open,projected_margin_home,model_spread_home,projected_total,market_spread_book,market_total_book,market_books_available,market_spread_last_update,market_total_last_update,market_line_source
2026-07-13,Preseason,2026,g156,401856676,2026-09-12,2,Charlotte,Ole Miss,,,,,43.9,-43.9,53.7,,,,,,
2026-07-13,Preseason,2026,g157,401856783,2026-09-12,2,Texas Tech,Oregon State,,,,,-26.933,26.933,49.8,,,,,,
2026-07-13,Preseason,2026,g158,401856790,2026-09-12,2,Central Florida,Pittsburgh,,,,,7.033,-7.033,50.3,,,,,,
2026-07-13,Preseason,2026,g159,401858224,2026-09-12,2,Wake Forest,Purdue,,,,,-3.8,3.8,48.0,,,,,,
2026-07-13,Preseason,2026,g160,401858223,2026-09-12,2,UC Davis,SMU,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g161,401862707,2026-09-12,2,Tulsa,Sam Houston,,,,,-11.467,11.467,54.6,,,,,,
2026-07-13,Preseason,2026,g162,401864504,2026-09-12,2,Cal Poly,San Jose State,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g163,401856680,2026-09-12,2,Towson,South Carolina,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g164,401858216,2026-09-12,2,California,Syracuse,,,,,-0.533,0.533,51.6,,,,,,
2026-07-13,Preseason,2026,g165,401856789,2026-09-12,2,Grambling State,TCU,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g166,401858442,2026-09-12,2,Penn State,Temple,,,,,-21.767,21.767,55.9,,,,,,
2026-07-13,Preseason,2026,g167,401856682,2026-09-12,2,Ohio State,Texas,-1.5,47.5,,47.5,-1.6,1.6,50.7,fanduel,fanduel,"1xbet,ballybet,betfairsportsbook,betmgm,betparx,betrivers,caesars,casumo,coolbet,coral,draftkings,fanduel,grosvenor,hardrockbet,ladbrokes,leovegas,livescorebet,paddypower,pointsbet,sportsbet,tabtouch,unibet,virginbet",2026-07-03T00:15:22.288Z,2026-07-03T00:15:22.288Z,SportsGameOdds
2026-07-13,Preseason,2026,g168,401856683,2026-09-12,2,Arizona State,Texas A&M,-14.5,,,,16.867,-16.867,51.7,draftkings,,draftkings,2026-07-03T00:13:41.000Z,,SportsGameOdds
2026-07-13,Preseason,2026,g169,401860884,2026-09-12,2,UTSA,Texas State,,,,,1.0,-1.0,65.2,,,,,,
2026-07-13,Preseason,2026,g170,401866419,2026-09-12,2,CCSU,Toledo,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g171,401868326,2026-09-12,2,Alabama State,Troy,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g172,401864575,2026-09-12,2,South Alabama,Tulane,,,,,12.633,-12.633,54.3,,,,,,
2026-07-13,Preseason,2026,g173,401862708,2026-09-12,2,UL-Monroe,UAB,,,,,7.667,-7.667,55.2,,,,,,
2026-07-13,Preseason,2026,g174,401858443,2026-09-12,2,San Diego State,UCLA,,,,,5.9,-5.9,50.5,,,,,,
2026-07-13,Preseason,2026,g175,401858445,2026-09-12,2,Louisiana,USC,,,,,29.867,-29.867,58.6,,,,,,
2026-07-13,Preseason,2026,g176,401864505,2026-09-12,2,Texas Southern,UTEP,,,,,,,,,,,,,
2026-07-13,Preseason,2026,g177,401856670,2026-09-12,2,Arkansas,Utah,-7.5,55.5,,,9.667,-9.667,58.8,fanduel,fanduel,"coolbet,draftkings,pointsbet",2026-07-03T00:15:07.955Z,2026-07-03T00:15:07.955Z,SportsGameOdds
