market,model_id,checkpoint,threshold,existing_roi,recomputed_roi,difference
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,3.5,0.0556053112645478,0.05560531126454791,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,4.0,0.0849896329757331,0.08498963297573317,6.938893903907228e-17
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,4.5,0.1040760733055499,0.10407607330555002,1.249000902703301e-16
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,5.0,0.1308157151602079,0.13081571516020793,2.7755575615628914e-17
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,6.0,0.265658134590907,0.26565813459090704,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,7.0,0.3285971990348913,0.3285971990348914,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,8.0,0.4183199753291645,0.41831997532916454,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,9.0,0.5125318698412917,0.5125318698412917,0.0
spread,spread_4src_25_25_25_25_v1,TUE_2PM_ET,10.0,0.5942228616929623,0.5942228616929623,0.0
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,0.5,-0.0208150764841368,-0.020815076484136788,1.0408340855860843e-17
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,1.0,-0.0145366515197894,-0.014536651519789468,-6.765421556309548e-17
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,1.5,-0.0090303474425086,-0.00903034744250862,-1.9081958235744878e-17
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,2.0,-0.0012683342341562,-0.0012683342341562411,-4.119968255444917e-17
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,2.5,0.0203403917540782,0.02034039175407824,4.163336342344337e-17
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,3.0,0.0129083045960605,0.012908304596060603,1.0234868508263162e-16
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,3.5,0.0436756038060153,0.043675603806015394,9.020562075079397e-17
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,4.0,0.0757656836595211,0.0757656836595212,9.71445146547012e-17
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,4.5,0.0997960861389675,0.09979608613896757,6.938893903907228e-17
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,5.0,0.1378911206031828,0.13789112060318284,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,6.0,0.2233121966052439,0.223312196605244,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,7.0,0.3545608351527941,0.35456083515279413,5.551115123125783e-17
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,8.0,0.3769367966219324,0.3769367966219326,1.6653345369377348e-16
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,9.0,0.5096657785292741,0.5096657785292742,1.1102230246251565e-16
spread,spread_4src_25_25_25_25_v1,WED_2PM_ET,10.0,0.6341217128747891,0.6341217128747892,1.1102230246251565e-16
